date,open,high,low,close,volume
2024-08-01,224.37,224.48,217.02,218.36,62501000
2024-08-02,219.15,225.60,217.71,219.86,105568600
2024-08-05,199.09,213.50,196.00,209.27,119548600
2024-08-06,205.30,209.99,201.07,207.23,69660500
2024-08-07,206.90,213.64,206.39,209.82,63516400
2024-08-08,213.11,214.20,208.83,213.31,47161100
2024-08-09,212.10,216.78,211.97,216.24,42201600
2024-08-12,216.07,219.51,215.60,217.53,38028100
2024-08-13,219.01,221.89,219.01,221.27,44155300
2024-08-14,220.57,223.03,219.70,221.72,41960600
2024-08-15,224.60,225.35,222.76,224.72,46414000
2024-08-16,223.92,226.83,223.65,226.05,44340200
2024-08-19,225.72,225.99,223.04,225.89,40687800
2024-08-20,225.77,227.17,225.45,226.51,30299000
2024-08-21,226.52,227.98,225.05,226.40,34765500
2024-08-22,227.79,228.34,223.90,224.53,43695300
2024-08-23,225.66,228.22,224.33,226.84,38677300
2024-08-26,226.76,227.28,223.89,227.18,30602200
2024-08-27,226.00,228.85,224.89,228.03,35934600
2024-08-28,227.92,229.86,225.68,226.49,38052200
2024-08-29,230.10,232.92,228.88,229.79,51906300
2024-08-30,230.19,230.40,227.48,229.00,52990800
2024-09-03,228.55,229.00,221.17,222.77,50190600
2024-09-04,221.66,221.78,217.48,220.85,43840200
2024-09-05,221.63,225.48,221.52,222.38,36615400
2024-09-06,223.95,225.24,219.77,220.82,48423000
2024-09-09,220.82,221.27,216.71,220.91,67180000
2024-09-10,218.92,221.48,216.73,220.11,51591000
2024-09-11,221.46,223.09,217.89,222.66,44587100
2024-09-12,222.50,223.55,219.82,222.77,37455600
2024-09-13,223.58,224.04,221.91,222.50,36766600
2024-09-16,216.54,217.22,213.92,216.32,59357400
2024-09-17,215.75,216.90,214.50,216.79,45519300
2024-09-18,217.55,222.71,217.54,220.69,59894900
2024-09-19,224.99,229.82,224.63,228.87,66781300
2024-09-20,229.97,233.09,227.62,228.20,318679900
2024-09-23,227.34,229.45,225.81,226.47,54146000
2024-09-24,228.65,229.35,225.73,227.37,43556100
2024-09-25,224.93,227.29,224.02,226.37,42308700
2024-09-26,227.30,228.50,225.41,227.52,36636700
2024-09-27,228.46,229.52,227.30,227.79,34026000
2024-09-30,230.04,233.00,229.65,233.00,54541900
2024-10-01,229.52,229.65,223.74,226.21,63285000
2024-10-02,225.89,227.37,223.02,226.78,32880600
2024-10-03,225.14,226.81,223.32,225.67,34044200
2024-10-04,227.90,228.00,224.13,226.80,37245100
2024-10-07,224.50,225.69,221.33,221.69,39505400
2024-10-08,224.30,225.98,223.25,225.77,31855700
2024-10-09,225.23,229.75,224.83,229.54,33591100
2024-10-10,227.78,229.50,227.17,229.04,28183500
2024-10-11,229.30,229.41,227.34,227.55,31759200
2024-10-14,228.70,231.73,228.60,231.30,39882100
2024-10-15,233.61,237.49,232.37,233.85,64751400
2024-10-16,231.60,232.12,229.84,231.78,34082200
2024-10-17,233.43,233.85,230.52,232.15,32993800
2024-10-18,236.18,236.18,234.01,235.00,46431500
2024-10-21,234.45,236.85,234.45,236.48,36254500
2024-10-22,233.89,236.22,232.60,235.86,38846600
2024-10-23,234.08,235.14,227.76,230.76,52287000
2024-10-24,229.98,230.82,228.41,230.57,31109500
2024-10-25,229.74,233.22,229.57,231.41,38802300
